image_path,original_image,distortion_type,ground_truth,ocr_output,image_accuracy,detection_confidence,correct,status
/content/KSA_Dataset/content/KSA_License_Plate_Project/Gaussian_Blur/car_223.jpg,car_223.jpg,Gaussian_Blur,6983LNJ,S,0.0,85.29217839241028,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Motion_Blur/car_223.jpg,car_223.jpg,Motion_Blur,6983LNJ,,0.0,81.3893735408783,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Dirty/car_223.jpg,car_223.jpg,Dirty,6983LNJ,,0.0,87.55232691764832,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Occlusion/car_223.jpg,car_223.jpg,Occlusion,6983LNJ,,0.0,87.95109987258911,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Rotation/car_223.jpg,car_223.jpg,Rotation,6983LNJ,M3LNJO,61.53846153846154,86.0499620437622,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Tilted/car_223.jpg,car_223.jpg,Tilted,6983LNJ,,0.0,85.73391437530518,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Res/car_223.jpg,car_223.jpg,Low_Res,6983LNJ,VELF2,16.666666666666664,86.96087598800659,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Light/car_223.jpg,car_223.jpg,Low_Light,6983LNJ,16983LNJ,93.33333333333333,89.20215368270874,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Over_Exposed/car_223.jpg,car_223.jpg,Over_Exposed,6983LNJ,VTAFJ16983LNIG,57.14285714285714,87.50868439674377,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Gaussian_Blur/car_228.jpg,car_228.jpg,Gaussian_Blur,999GLG,E,0.0,78.69731187820435,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Motion_Blur/car_228.jpg,car_228.jpg,Motion_Blur,999GLG,SS,0.0,75.1032829284668,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Dirty/car_228.jpg,car_228.jpg,Dirty,999GLG,SS3994CL,42.857142857142854,81.34016394615173,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Occlusion/car_228.jpg,car_228.jpg,Occlusion,999GLG,,0.0,81.92921876907349,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Rotation/car_228.jpg,car_228.jpg,Rotation,999GLG,I,0.0,80.42007088661194,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Tilted/car_228.jpg,car_228.jpg,Tilted,999GLG,,0.0,80.34660220146179,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Res/car_228.jpg,car_228.jpg,Low_Res,999GLG,E25,0.0,43.23565065860748,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Light/car_228.jpg,car_228.jpg,Low_Light,999GLG,OO399CLE,42.857142857142854,82.67988562583923,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Over_Exposed/car_228.jpg,car_228.jpg,Over_Exposed,999GLG,MCLG,40.0,81.78683519363403,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Gaussian_Blur/car_198.jpg,car_198.jpg,Gaussian_Blur,6881ULD,,0.0,84.63119268417358,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Motion_Blur/car_198.jpg,car_198.jpg,Motion_Blur,6881ULD,,0.0,80.20888566970825,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Dirty/car_198.jpg,car_198.jpg,Dirty,6881ULD,VAAY3536881ULDS,63.63636363636363,86.27819418907166,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Occlusion/car_198.jpg,car_198.jpg,Occlusion,6881ULD,VAAY353568GLO,30.0,85.24730205535889,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Rotation/car_198.jpg,car_198.jpg,Rotation,6881ULD,6801,54.54545454545454,84.29307341575623,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Tilted/car_198.jpg,car_198.jpg,Tilted,6881ULD,G00,0.0,84.95618104934692,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Res/car_198.jpg,car_198.jpg,Low_Res,6881ULD,TR2,0.0,84.36082005500793,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Light/car_198.jpg,car_198.jpg,Low_Light,6881ULD,VAAY39556881ULOS,52.17391304347826,86.63048148155212,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Over_Exposed/car_198.jpg,car_198.jpg,Over_Exposed,6881ULD,VAAY39326881ULD,63.63636363636363,86.1927330493927,False,success
